series,location,keywords,numpages,pages,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,month,journal,note,issn,articleno,number,volume,issue_date
IMX '25,,"image generation, human-computer interaction, generative AI, human-centered AI, computational creativity, creative workflow, user experience, co-creation, ownership",18,108–125,Proceedings of the 2025 ACM International Conference on Interactive Media Experiences,"Artificial intelligence (AI) is rapidly transforming creative arts, offering new possibilities while raising challenges related to creative control and authorship. Artistic creation is a deeply personal process that reflects an individual’s unique vision and style. However, existing AI-driven text-to-image tools often provide limited control, making it difficult for users to express their intentions fully. These tools can either fall short of expectations or produce results that feel detached from the creator’s vision, ultimately diminishing their sense of ownership and pride in the final outcome. This paper introduces Drawing-in-Steps, an application that supports a hierarchical drawing process, where stages such as ideation, detailing, colorization, refinement, and finishing build on each other to progressively shape the final artwork. This structured approach fosters collaboration between the user and AI, ensuring that artistic intent is preserved while taking advantage of AI’s generative capabilities. An explorative user study with 30 participants investigated whether a step-by-step workflow could enhance feelings of artistic ownership, collaboration, and pride compared to traditional text-to-image methods. Our findings suggest that stepwise guidance, with varying levels of user interaction, may contribute to a stronger sense of ownership and user involvement in the creative process. Participants tended to report feeling more connected to their work, experiencing greater satisfaction with their artistic contributions, and achieving better alignment with their original vision. Notably, stages that involved higher user input appeared to enhance the sense of ownership, while more automated stages required careful balancing to maintain user involvement. These results indicate that integrating AI as a collaborative partner rather than a dominant force could empower users by striking a balance between automation and creative control. Our study offers valuable insights into how AI might be meaningfully incorporated into artistic workflows to support user experience, enhance creative expression, and strengthen feelings of artistic ownership.",10.1145/3706370.3727862,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706370.3727862,"New York, NY, USA",Association for Computing Machinery,9798400713910,2025,Drawing-in-Steps: Supporting Creative Goals through User Engagement via Hierarchical Image Generation,"Weber, Christoph Johannes and Huang, Jenny and Rothe, Sylvia",inproceedings,10.1145/3706370.3727862,,,,,,,,
,,"Data Extraction, Maritime History, Historical Newspapers, Layout Analysis, Text Block Ordering, OCR, Paragraph Segmentation, Generative AI, ChatGPT",,,,"Historical newspapers are invaluable resources that capture the cultural, social, economic, and political dimensions of their time, providing unique insights into past events and daily life. However, the potential of these archives remains underutilised due to the limitations of traditional research methods, which rely on laborious manual examination of individual pages or articles. Digital archives have begun to address this issue by enhancing accessibility, but the lack of effective tools for parsing and analysing the contents still restricts their utility for large-scale historical research. Optical Character Recognition (OCR) technology plays a foundational role in converting scanned images into searchable text. However, OCR alone cannot adequately handle the complexities of historical newspapers, which often feature degraded image quality, inconsistent typography, and intricate layouts. In parallel, the effective segmentation and ordering of newspaper contents is essential for generating well-structured and logically ordered data from specific newspaper sections. This paper focuses on the development of a pipeline that addresses these challenges, using the daily newspaper Le S\'{e}maphore de Marseille as a case study (35,703 issues covering the period 1827 to 1944). The proposed system integrates layout analysis, OCR, and Generative AI-driven information extraction techniques to extract specific data elements from scanned images, namely ship arrivals data, and to store them in a machine-readable format for further analysis. This well-structured output enables historians to analyse historical trade patterns, economic trends, and regional interactions more efficiently and at a much larger scale. An evaluation of the key pipeline components demonstrates the effectiveness of the system, achieving an F1-score of 96\% in paragraph segmentation and information extraction, while also highlighting the need for further improvement in the critical OCR component.",10.1145/3800678,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3800678,"New York, NY, USA",Association for Computing Machinery,,2026,"Automating the Extraction of Structured Data from Large Newspaper Corpora using Layout Analysis, OCR and Generative AI","Kontonasios, Nikos and Tzitzikas, Yannis and Fafalios, Pavlos",article,10.1145/3800678,March,J. Comput. Cult. Herit.,Just Accepted,1556-4673,,,,
CHI '24,"Honolulu, HI, USA","Artificial Intelligence, Generative AI, K-12 Education",17,,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"The viral launch of new generative AI (GAI) systems, such as ChatGPT and Text-to-Image (TTL) generators, sparked questions about how they can be effectively incorporated into writing education. However, it is still unclear how teachers, parents, and students perceive and suspect GAI systems in elementary school settings. We conducted a workshop with twelve families (parent-child dyads) with children ages 8-12 and interviewed sixteen teachers in order to understand each stakeholder’s perspectives and opinions on GAI systems for learning and teaching writing. We found that the GAI systems could be beneficial in generating adaptable teaching materials for teachers, enhancing ideation, and providing students with personalized, timely feedback. However, there are concerns over authorship, students’ agency in learning, and uncertainty concerning bias and misinformation. In this article, we discuss design strategies to mitigate these constraints by implementing an adults-oversight system, balancing AI-role allocation, and facilitating customization to enhance students’ agency over writing projects.",10.1145/3613904.3642438,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642438,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,"Teachers, Parents, and Students' perspectives on Integrating Generative AI into Elementary Literacy Education","Han, Ariel and Zhou, Xiaofei and Cai, Zhenyao and Han, Shenshen and Ko, Richard and Corrigan, Seth and Peppler, Kylie A",inproceedings,10.1145/3613904.3642438,,,,,678,,,
,,"collaboration, creativity support",28,,,"Character design in games involves interdisciplinary collaborations, typically between designers who create the narrative content, and illustrators who realize the design vision. However, traditional workflows face challenges in communication due to the differing backgrounds of illustrators and designers, the latter with limited artistic abilities. To overcome these challenges, we created Sketchar, a Generative AI (GenAI) tool that allows designers to prototype game characters and generate images based on conceptual input, providing visual outcomes that can give immediate feedback and enhance communication with illustrators' next step in the design cycle. We conducted a mixed-method study to evaluate the interaction between game designers and Sketchar. We showed that the reference images generated in co-creating with Sketchar fostered refinement of design details and can be incorporated into real-world workflows. Moreover, designers without artistic backgrounds found the Sketchar workflow to be more expressive and worthwhile. This research demonstrates the potential of GenAI in enhancing interdisciplinary collaboration in the game industry, enabling designers to interact beyond their own limited expertise.",10.1145/3677102,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3677102,"New York, NY, USA",Association for Computing Machinery,,2024,Sketchar: Supporting Character Design and Illustration Prototyping Using Generative AI,"Ling, Long and Chen, Xinyi and Wen, Ruoyu and Li, Toby Jia-Jun and LC, RAY",article,10.1145/3677102,October,Proc. ACM Hum.-Comput. Interact.,,,337,CHI PLAY,8,October 2024
HCAIep '23,"Dublin, Ireland","Generative AI, Human Centered AI, Intelligent Tutoring Systems",6,16–21,Proceedings of the 2023 Conference on Human Centered Artificial Intelligence: Education and Practice,"This work introduces design for a Generative AI (Gen-AI) based tutoring system customized for Egyptian community schools needs. Community schools are managed by NGOs as an alternative education to unprivileged students who missed the formal government education. Our research involved working with an Egyptian NGO and a community school in upper Egypt from March 2023 to September 2023. Several workshops were conducted with involved stakeholders and end users to collect the requirements for such a system. The proposed design reflects the views of management, teachers and student parents.It also adhere to Haman-Centered AI (HCAI) principles which prioritize human values and experiences. This paper lists the outcomes of this process and surveys potential tools that can be used in this system. The findings emphasize the need for Gen-AI to act as a teacher’s assistant rather than a replacement, it also highlights the need for localization as well as the need for an end-to-end solution rather than developing an isolated AI-based module. The proposed Gen-AI tutoring system integrates Generative AI, a Learning Management System (LMS), and comprehensive reporting dashboards. This design aims to meet the technical and pedagogical requirements of community school environments and produces a trusted tutoring system that empowers teachers and students.",10.1145/3633083.3633085,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3633083.3633085,"New York, NY, USA",Association for Computing Machinery,9798400716461,2023,Generative AI-Based Tutoring System for Upper Egypt Community Schools,"Soudi, Marwa and Ali, Esraa and Bali, Maha and Mabrouk, Nihal",inproceedings,10.1145/3633083.3633085,,,,,,,,
WWW '24,"Singapore, Singapore","abstract concepts, diffusion models, image generation, prompt optimization",8,1530–1537,Companion Proceedings of the ACM Web Conference 2024,"The rapid evolution of text-to-image diffusion models has opened the door of generative AI, enabling the translation of textual descriptions into visually compelling images with remarkable quality. However, a persistent challenge within this domain is the optimization of prompts to effectively convey abstract concepts into concrete objects. For example, text encoders can hardly express ""peace"", while can easily illustrate olive branches and white doves. This paper introduces a novel approach named Prompt Optimizer for Abstract Concepts (POAC) specifically designed to enhance the performance of text-to-image diffusion models in interpreting and generating images from abstract concepts. We propose a Prompt Language Model (PLM), which is initialized from a pre-trained language model, and then fine-tuned with a curated dataset of abstract concept prompts. The dataset is created with GPT-4 to extend the abstract concept to a scene and concrete objects. Our framework employs a Reinforcement Learning (RL)-based optimization strategy, focusing on the alignment between the generated images by a stable diffusion model and optimized prompts. Through extensive experiments, we demonstrate that our proposed POAC significantly improves the accuracy and aesthetic quality of generated images, particularly in description of abstract concepts and alignment with optimized prompts. We also present a comprehensive analysis of our model's performance across diffusion models under different settings, showcasing its versatility and effectiveness in enhancing abstract concept representation.",10.1145/3589335.3651927,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3589335.3651927,"New York, NY, USA",Association for Computing Machinery,9798400701726,2024,Prompt Optimizer of Text-to-Image Diffusion Models for Abstract Concept Understanding,"Fan, Zezhong and Li, Xiaohan and Nag, Kaushiki and Fang, Chenhao and Biswas, Topojoy and Xu, Jianpeng and Achan, Kannan",inproceedings,10.1145/3589335.3651927,,,,,,,,
MM '23,"Ottawa ON, Canada","aigc, generative ai models, misinformation detection, multimodal",8,9291–9298,Proceedings of the 31st ACM International Conference on Multimedia,"Misinformation has been a persistent and harmful phenomenon affecting our society in various ways, including individuals' physical health and economic stability. With the rise of short video platforms and related applications, the spread of multi-modal misinformation, encompassing images, texts, audios, and videos have exacerbated these concerns. The introduction of generative AI models like ChatGPT and Stable Diffusion has further complicated matters, giving rise to Artificial Intelligence Generated Content (AIGC) and presenting new challenges in detecting and mitigating misinformation. Consequently, traditional approaches to misinformation detection and intervention have become inadequate in this evolving landscape. This paper explores the challenges posed by AIGC in the context of misinformation. It examines the issue from psychological and societal perspectives, and explores the subtle manipulation traces found in AIGC at signal, perceptual, semantic, and human levels. By scrutinizing manipulation traces such as signal manipulation, semantic inconsistencies, logical incoherence, and psychological strategies, our objective is to tackle AI-generated misinformation and provide a conceptual design of systematic explainable solution. Ultimately, we aim for this paper to contribute valuable insights into combating misinformation, particularly in the era of AIGC.",10.1145/3581783.3612704,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3581783.3612704,"New York, NY, USA",Association for Computing Machinery,9798400701085,2023,Combating Misinformation in the Era of Generative AI Models,"Xu, Danni and Fan, Shaojing and Kankanhalli, Mohan",inproceedings,10.1145/3581783.3612704,,,,,,,,
ICDSDI '25,,"Digital virtual human, Generative AI, Human-computer interaction, Real-time interaction",7,59–65,Proceedings of the 2025 2nd International Conference on Digital Systems and Design Innovation,"In an era where digital technology is reshaping human-computer interaction, this research investigates the constraints associated with users assuming passive roles in conventional characters. To address this issue, a ""User-Involved Real-Time Interactive System for Digital Humans"" has been developed. The system integrates multimodal data acquisition devices—such as thermal sensors, visual cameras, and heart rate trackers—with advanced generative artificial intelligence models. By processing user-specific physiological characteristics and behavioral tendencies, the system dynamically generates personalized virtual entities. This approach empowers individuals from mere recipients of digital content to active participants in its creation. Furthermore, leveraging the TouchDesigner platform, the system constructs mixed-reality settings. Through the integration of sensor-based hardware and ComfyUI processing pipelines, it ensures immediate synchronization between users' real-time inputs and the generation of corresponding virtual characters. Experimental results demonstrate that the system enhances user immersion, engagement, and emotional satisfaction through visual editing, driving the evolution from static identity models to real-time dynamic systems and offering novel pathways for technological value conversion.",10.1145/3759275.3759284,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3759275.3759284,"New York, NY, USA",Association for Computing Machinery,9798400719554,2025,Research on the Design of Generative AI and Real-Time Interactive Digital Virtual Human Systems,"Qiu, Xiaofei and Zhang, Jiawen",inproceedings,10.1145/3759275.3759284,,,,,,,,
CHI '25,,"virtual reality, culture heritage, mural recreation, generative AI",20,,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"Virtual reality (VR) provides an immersive and interactive platform for presenting ancient murals, enhancing users’ understanding and appreciation of these invaluable culture treasures. However, traditional hand-crafted methods for recreating murals in VR are labor-intensive, time-consuming, and require significant expertise, limiting their scalability for large-scale mural scenes. To address these challenges, we propose a comprehensive pipeline that leverages generative AI to automate the mural recreation process. This pipeline is validated by the reconstruction of Foguang Temple scene in Dunhuang Murals. A user study comparing the AI-generated scene with a hand-crafted one reveals no significant differences in presence, authenticity, engagement and enjoyment, and emotion. Additionally, our findings identify areas for improvement in AI-generated recreations, such as enhancing historical fidelity and offering customization. This work paves the way for more scalable, efficient, and accessible methods of revitalizing cultural heritage in VR, offering new opportunities for mural preservation, demonstration, and dissemination using VR.",10.1145/3706598.3714157,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3714157,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,Reviving Mural Art through Generative AI: A Comparative Study of AI-Generated and Hand-Crafted Recreations,"Zhao, Shuo and Huang, Yifei and He, Xiaoyang and Tong, Xin and Li, Xin and Wu, Dan",inproceedings,10.1145/3706598.3714157,,,,,662,,,
UIST '24,"Pittsburgh, PA, USA","creativity support, generative AI, large-scale model, prototype",18,,Proceedings of the 37th Annual ACM Symposium on User Interface Software and Technology,"Prototyping serves as a critical phase in the industrial conceptual design process, enabling exploration of problem space and identification of solutions. Recent advancements in large-scale generative models have enabled AI to become a co-creator in this process. However, designers often consider generative AI challenging due to the necessity to follow computer-centered interaction rules, diverging from their familiar design materials and languages. Physical prototype is a commonly used design method, offering unique benefits in prototype process, such as intuitive understanding and tangible testing. In this study, we propose ProtoDreamer, a mixed-prototype tool that synergizes generative AI with physical prototype to support conceptual design. ProtoDreamer allows designers to construct preliminary prototypes using physical materials, while AI recognizes these forms and vocal inputs to generate diverse design alternatives. This tool empowers designers to tangibly interact with prototypes, intuitively convey design intentions to AI, and continuously draw inspiration from the generated artifacts. An evaluation study confirms ProtoDreamer’s utility and strengths in time efficiency, creativity support, defects exposure, and detailed thinking facilitation.",10.1145/3654777.3676399,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3654777.3676399,"New York, NY, USA",Association for Computing Machinery,9798400706288,2024,ProtoDreamer: A Mixed-prototype Tool Combining Physical Model and Generative AI to Support Conceptual Design,"Zhang, Hongbo and Chen, Pei and Xie, Xuelong and Lin, Chaoyi and Liu, Lianyan and Li, Zhuoshu and You, Weitao and Sun, Lingyun",inproceedings,10.1145/3654777.3676399,,,,,97,,,
