series,location,keywords,numpages,articleno,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,month,journal,number,volume,issue_date,pages,issn
CSAE '23,"Virtual Event, China","Artificial Intelligence Generated Content (AIGC), Network Audiovisual Field, Self-determination Theory, Social Cognitive Theory, User Acceptance",5,11,Proceedings of the 7th International Conference on Computer Science and Application Engineering,"[Purpose/Significance] Chinese network audiovisual has become the largest Internet application in China, by combing the application and user acceptance of AIGC in the field of network audiovisual, this paper discusses the standardization, rationalization and high-quality development of AIGC deeply embedded in the field of network audiovisual.[Design/Methodology] Based on the research framework of ""environment - subject cognition - behavior"" of social cognition theory, this paper constructs a model of ""network audiovisual environment - self-determination theory-user acceptance"" of AIGC, studies the application of AIGC in network audiovisual environment from three aspects of generation carrier, generation technology and generation digital life. According to the self-determination theory of psychology, this paper studies the user's autonomy, competence and relatedness, and then discusses the user's acceptance behavior.[Findings/Conclusion] By analyzing the application process of AIGC to be accepted by users in the field of network audiovisual, it is found that there are problems of data source, use ethics and copyright ownership of AIGC, and threats from data security, digital colonization, and users’ ideology.[Originality/Value] The analysis of AIGC is combined with the network audiovisual, which is the largest application environment of the Internet in China, and using communication science and social psychology to carry out cross-research, it brings new creative ideas to the analysis of AIGC and puts forward countermeasures to the potential threats of AIGC.",10.1145/3627915.3628020,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3627915.3628020,"New York, NY, USA",Association for Computing Machinery,9798400700590,2023,The Application and User Acceptance of AIGC in Network Audiovisual Field: Based on the Perspective of Social Cognitive Theory,"Sun, Huaijin and He, Ying",inproceedings,10.1145/3627915.3628020,,,,,,,
,,,23,32,,"Mobile app light and dark modes offer improved usability within different contexts (e.g., dark mode for easier night reading). Yet, little research has investigated the prevalence of light and dark modes across platforms, the intricacies of UI color changes, and challenges in the design and development process. Our investigation focused on comparing light and dark mode designs. We carried out a manual inspection of 120 popular Android and iOS apps to find that only 55\% (Android) and 48\% (iOS) of the apps included any modes. We also found significant variability in how many UI elements changed between modes. We interviewed 15 designers and developers to understand the creative process, motivations for design decisions, and what challenges exist in the processes that affect alternative mode implementation. We identified several issues that HCI researchers are equipped to solve, ultimately improving support for mobile app creators looking to implement dark modes (and beyond) for increased mobile usability in different contexts.",10.1145/3643539,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3643539,"New York, NY, USA",Association for Computing Machinery,,2024,Light and Dark Mode: A Comparison Between Android and iOS App UI Modes and Interviews with App Designers and Developers,"Andrew, Sarah and Bishop, Chelsea and Tigwell, Garreth W.",article,10.1145/3643539,March,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,1,8,March 2024,,
CHI '25,,Creativity Support; Screenwriting; Qualitative Methods; Human-AI Co-Creation,18,26,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,"With the rise of AI technologies and their growing influence in the screenwriting field, understanding the opportunities and concerns related to AI’s role in screenwriting is essential for enhancing human-AI co-creation. Through semi-structured interviews with 23 screenwriters, we explored their creative practices, attitudes, and expectations in collaborating with AI for screenwriting. Based on participants’ responses, we identified the key stages in which they commonly integrated AI, including story structure \&amp; plot development, screenplay text, goal \&amp; idea generation, and dialogue. Then, we examined how different attitudes toward AI integration influence screenwriters’ practices across various workflow stages and their broader impact on the industry. Additionally, we categorized their expected assistance using four distinct roles of AI: actor, audience, expert, and executor. Our findings provide insights into AI’s impact on screenwriting practices and offer suggestions on how AI can benefit the future of screenwriting.",10.1145/3706598.3714120,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3706598.3714120,"New York, NY, USA",Association for Computing Machinery,9798400713941,2025,"Understanding Screenwriters' Practices, Attitudes, and Future Expectations in Human-AI Co-Creation","Tang, Yuying and Li, Haotian and Lan, Minghe and Ma, Xiaojuan and Qu, Huamin",inproceedings,10.1145/3706598.3714120,,,,,,,
UIST '25,,,21,52,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"While augmented reality (AR) enables new ways to play, tell stories, and explore ideas rooted in the physical world, authoring personalized AR content remains difficult for non-experts, often requiring professional tools and time. Prior systems have explored AI-driven XR design but typically rely on manually defined VR environments and fixed asset libraries, limiting creative flexibility and real-world relevance. We introduce ImaginateAR, the first mobile tool for AI-assisted AR authoring to combine offline scene understanding, fast 3D asset generation, and LLMs—enabling users to create outdoor scenes through natural language interaction. For example, saying “a dragon enjoying a campfire” (P7) prompts the system to generate and arrange relevant assets, which can then be refined manually. Our technical evaluation shows that our custom pipelines produce more accurate outdoor scene graphs and generate 3D meshes faster than prior methods. A three-part user study (N=20) revealed preferred roles for AI, how users create in free-form use, and design implications for future AR authoring tools. ImaginateAR takes a step toward empowering anyone to create AR experiences anywhere—simply by speaking their imagination.",10.1145/3746059.3747635,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747635,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,ImaginateAR: AI-Assisted In-Situ Authoring in Augmented Reality,"Lee, Jaewook and Aleotti, Filippo and Mazala, Diego and Garcia-Hernando, Guillermo and Vicente, Sara and Johnston, Oliver James and Kraus-Liang, Isabel and Powierza, Jakub and Shin, Donghoon and Froehlich, Jon E. and Brostow, Gabriel and Van Brummelen, Jessica",inproceedings,10.1145/3746059.3747635,,,,,,,
CHI '24,"Honolulu, HI, USA","audio cue, audio description, blind, context-aware, low vision, scenario-based design, scenarios, tactile feedback, video accessibility",20,897,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"While audio description (AD) is the standard approach for making videos accessible to blind and low vision (BLV) people, existing AD guidelines do not consider BLV users’ varied preferences across viewing scenarios. These scenarios range from how-to videos on YouTube, where users seek to learn new skills, to historical dramas on Netflix, where a user’s goal is entertainment. Additionally, the increase in video watching on mobile devices provides an opportunity to integrate nonverbal output modalities (e.g., audio cues, tactile elements, and visual enhancements). Through a formative survey and 15 semi-structured interviews, we identified BLV people’s video accessibility preferences across diverse scenarios. For example, participants valued action and equipment details for how-to videos, tactile graphics for learning scenarios, and 3D models for fantastical content. We define a six-dimensional video accessibility design space to guide future innovation and discuss how to move from “one-size-fits-all” paradigms to scenario-specific approaches.",10.1145/3613904.3642238,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642238,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,“It’s Kind of Context Dependent”: Understanding Blind and Low Vision People’s Video Accessibility Preferences Across Viewing Scenarios,"Jiang, Lucy and Jung, Crescentia and Phutane, Mahika and Stangl, Abigale and Azenkot, Shiri",inproceedings,10.1145/3613904.3642238,,,,,,,
,,"Danmaku, cognitive resonance, content moderation, emotional resonance, human-AI co-creation, large language models, pro-social behavior, video sharing platform",27,CSCW056,,"Online video platforms have gained increased popularity due to their ability to support information consumption and sharing and the diverse social interactions they afford. Danmaku, a real-time commentary feature that overlays user comments on a video, has been found to improve user engagement, however, the use of Danmaku can lead to toxic behaviors and inappropriate comments. To address these issues, we propose a proactive moderation approach inspired by Impact Captions, a visual technique used in East Asian variety shows. Impact Captions combine textual content and visual elements to construct emotional and cognitive resonance. Within the context of this work, Impact Captions were used to guide viewers towards positive Danmaku-related activities and elicit more pro-social behaviors. Leveraging Impact Captions, we developed DanModCap, an moderation tool that collected and analyzed Danmaku and used it as input to large generative language models to produce Impact Captions. Our evaluation of DanModCap demonstrated that Impact Captions reduced negative antagonistic emotions, increased users' desire to share positive content, and elicited self-control in Danmaku social action to fostering proactive community maintenance behaviors. Our approach highlights the benefits of using LLM-supported content moderation methods for proactive moderation in a large-scale live content contexts.",10.1145/3710954,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3710954,"New York, NY, USA",Association for Computing Machinery,,2025,DanModCap: Designing a Danmaku Moderation Tool for Video-Sharing Platforms that Leverages Impact Captions with Large Language Models,"Hu, Siying and Wang, Huanchen and Zhang, Yu and Wang, Piaohong and Lu, Zhicong",article,10.1145/3710954,May,Proc. ACM Hum.-Comput. Interact.,2,9,May 2025,,
CHI '24,"Honolulu, HI, USA","Assisted Reality, Audiobook Augmentation, Heads-Up Computing, Incidental learning, Optical See-Through Head-Mounted Displays, Recall Enhancement, Smart-glasses, Visual Storytelling",22,83,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,"The rise of multitasking in contemporary lifestyles has positioned audio-first content as an essential medium for information consumption. We present AudioXtend, an approach to augment audiobook experiences during daily tasks by integrating glanceable, AI-generated visuals through optical see-through head-mounted displays (OHMDs). Our initial study showed that these visual augmentations not only preserved users’ primary task efficiency but also dramatically enhanced immediate auditory content recall by 33.3\% and 7-day recall by 32.7\%, alongside a marked improvement in narrative engagement. Through participatory design workshops involving digital arts designers, we crafted a set of design principles for visual augmentations that are attuned to the requirements of multitaskers. Finally, a 3-day take-home field study further revealed new insights for everyday use, underscoring the potential of assisted reality (aR) to enhance heads-up listening and incidental learning experiences.",10.1145/3613904.3642514,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3613904.3642514,"New York, NY, USA",Association for Computing Machinery,9798400703300,2024,AudioXtend: Assisted Reality Visual Accompaniments for Audiobook Storytelling During Everyday Routine Tasks,"Tan, Felicia Fang-Yi and Xu, Peisen and Ram, Ashwin and Suen, Wei Zhen and Zhao, Shengdong and Huang, Yun and Hurter, Christophe",inproceedings,10.1145/3613904.3642514,,,,,,,
ASSETS '25,,"Literature Review, Systematic Literature Review, Reading, Reading Support, Reading Support Technologies, Reading Comprehension, Languages, Accessibility, Disabilities, Reading Disabilities, Reading Difficulty, Comprehension, Readability, Web Readability, Skimming, Automatic Text Simplification, AI, AI tools, AI for reading, Braille, Braille Literacy, Dyslexia, Blind or Low Vision, Deaf or Hard of Hearing, Aphasia, Alexia, ADHD, Intellectual and Cognitive Disabilities, Color Vision Deficiency, Print Disabilities, Autism",21,67,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,"Reading is a vital skill for social, educational, and professional development, yet various disabilities can impact a person’s ability to read and develop literacy skills. HCI and accessibility researchers have explored a wide range of technologies to support reading for people with disabilities. To understand trends in this space, we analyzed 101 publications from Association for Computing Machinery (ACM) venues (2000–2024), coding for target user communities, research methods, technologies, types of support, and contributions. Most research focused on people with dyslexia, followed by people who are Blind or Low Vision, Deaf or Hard of Hearing, or who have intellectual and cognitive disabilities. The majority of studies involved artifact development and short-term lab-based evaluations, with common technologies including visual augmentations, text modifications, and simplification—primarily aimed at improving readability, comprehension, and reading speed. However, participatory approaches and longitudinal evaluations were rarely employed, and the body of work has disproportionately focused on web-based digital reading. Following the initial coding, we conducted community-specific analyses of individual publications to identify patterns and limitations. Based on these analyses, we offer a set of open research questions and community-specific directions to guide future work.",10.1145/3663547.3746355,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3663547.3746355,"New York, NY, USA",Association for Computing Machinery,9798400706769,2025,A Review of 25 Years of Human-Computer Interaction Research on Reading Support Technologies for People with Disabilities Published in the ACM Digital Library,"Alonzo, Oliver and Hassan, Saad",inproceedings,10.1145/3663547.3746355,,,,,,,
MODELS '24,"Linz, Austria","Artificial Intelligence, Concrete Syntax, Domain-specific Modeling Languages, Large Language Models",12,,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"In model-driven engineering, the concrete syntax of a domain-specific modeling language (DSML) is fundamental as it constitutes the primary point of interaction between the user and the DSML. Nevertheless, the conventional one-size-fits-all approach to concrete syntax often undermines the effectiveness of DSMLs, as it fails to accommodate the diverse constraints and specific requirements inherent to diverse users and usage contexts. Such shortcomings can lead to a significant decline in the performance, usability, and efficiency of DSMLs. This vision paper proposes a conceptual framework to generate concrete syntax intelligently. Our framework considers multiple concerns of users and aims to align the concrete syntax with the context of the DSML usage. Additionally, we detail a baseline process to employ our framework in practice, leveraging large language models to expedite the generation of tailored concrete syntax. We illustrate the potential of our vision with two concrete examples and discuss the shortcomings and research challenges of current intelligent generation techniques.",10.1145/3640310.3674085,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3640310.3674085,"New York, NY, USA",Association for Computing Machinery,9798400705045,2024,Toward Intelligent Generation of Tailored Graphical Concrete Syntax,"Ben Chaaben, Meriem and Ben Sghaier, Oussama and Dhaouadi, Mouna and Elrasheed, Nafisa and Darif, Ikram and Jaoua, Imen and Oakes, Bentley and Syriani, Eugene and Hamdaqa, Mohammad",inproceedings,10.1145/3640310.3674085,,,,,,160–171,
CIKM '25,"Seoul, Republic of Korea","diffusion model, session-based social recommendation",11,,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"Session-based Social Recommendation (SSR) enhances item recommendations by incorporating both session interactions and social network data. Despite recent progress, existing SSR methods-primarily based on Graph Neural Networks-are highly susceptible to session noise (irrelevant or unintentional interactions) and social noise (misleading signals from connected users). Prior denoising strategies often rely on heuristic resampling or reweighting techniques, which lack generalizability and robustness across diverse datasets. In this work, we explore a novel direction by introducing diffusion models for denoising in SSR. However, applying diffusion to SSR presents unique challenges due to heterogeneous data modalities, incompatible noise patterns, and the absence of semantic guidance during the reverse process. To overcome these challenges, we propose D3MRec, a Dual Denoising Diffusion Model specifically designed for SSR. D3MRec employs a dual-branch architecture that independently models session sequences and social graphs, applying denoising diffusion in their respective hidden representation spaces. This decoupled design preserves the structural integrity of each modality while enabling modality-specific denoising. Moreover, we introduce cross-modal guidance by leveraging collaborative signals from the other branch during the reverse diffusion process, enhancing alignment between session intents and social preferences. The dual denoising processes not only mitigate noise within each modality but also serve as mutual priors, facilitating robust and consistent representation learning across modalities. Extensive experiments on multiple benchmarks show that D3MRec significantly outperforms state-of-the-art models, particularly under noisy conditions, demonstrating its effectiveness and robustness.",10.1145/3746252.3761031,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746252.3761031,"New York, NY, USA",Association for Computing Machinery,9798400720406,2025,Dual Denoising Diffusion Model for Session-based Social Recommendation,"Lu, Mengying and Zheng, Hai-Tao and Zhou, Lan and Li, Qi and Shan, Jinxiao and Li, Zhixing and Kim, Hong-Gee",inproceedings,10.1145/3746252.3761031,,,,,,1989–1999,
