series,location,keywords,numpages,pages,booktitle,abstract,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,articleno,month,journal,issn,number,volume,issue_date,note
AIVRID '25,,"AIIP image, Affective computing, Emotional Economy, deep learning, generative adversarial network",8,171–178,"Proceedings of the 2025 International Conference on Artificial Intelligence, Virtual Reality and Interaction Design","This article focuses on the emotional value of AI IP images in the context of the emotional economy, exploring how they can evoke emotional resonance in consumers through design and transform it into actual behavioral responses. The study adopts case analysis and user behavior trajectory tracking technology, selects typical AI IP image training sample set, and analyzes the composition logic of emotional value from the perspective of art design and computer vision intersection.selecting typical IP images and analyzing the composition of emotional value from an artistic design perspective: visually, the shape, color, and detail symbols create an “initial glance” emotional impact; in interaction, language style and action feedback strengthen the connection of “being understood”; at the cultural level, local elements and subcultural trends trigger a sense of belonging and identity. By analyzing user comments and behavioral data, it reveals how emotional value drives user attention, sharing, and consumption. The research conclusion provides strategies for the design of AI IP images, emphasizing “emotional resonance” as the core, making the image a “emotional outlet” for users, echoing the “experience first” consumption logic in the emotional economy.",10.1145/3777730.3777759,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3777730.3777759,"New York, NY, USA",Association for Computing Machinery,9798400718540,2026,Research on the Emotional Value of AI IP Images from the Perspective of Emotional Economy,"Gao, Ziye and Chen, Shuqin and Zheng, Qifan and Li, Minghui",inproceedings,10.1145/3777730.3777759,,,,,,,,
,,,6,1133–1138,Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence,"The innovative development of new media technologies is driving innovation in traditional film and television content production and consumption models, as well as changes in narrative structure. Film narratives are becoming increasingly diversified in the new media context. The integration of interactive narrative technologies has disrupted the traditional linear structure of films, and new media platforms have opened up new channels for film distribution. Television program formats are shifting towards cross-media. Traditional television programs are being restructured through new media platforms, and the number of variety shows and documentaries that adopt cross-media narrative strategies is increasing. Multi-platform program planning based on cross-media strategies has become a new development strategy for programs. Researching cross-media communication strategies for film and television content in the new media environment is of great practical significance for promoting the innovative development of the film and television industry and identifying new development directions for film and television content.",,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3773365.3773544,"New York, NY, USA",Association for Computing Machinery,9798400718748,2025,Research on Cross-Media Communication Strategies of Film Narratives and Television Programs in the New Media Environment,"Wu, Xiewei",inbook,10.1145/3773365.3773544,,,,,,,,
CIKM '25,"Seoul, Republic of Korea","lecture script generation, long-context llms, retrieval-augmented generation, vision-language models",8,6153–6160,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"Educators face substantial workload pressures, with significant time invested in preparing teaching materials. Generating high-quality lecture scripts from multimodal presentations is a particularly demanding aspect of this preparation. This paper introduces EduCraft, a novel system designed to automate Lecture Script Generation (LSG), addressing key difficulties such as comprehensive multimodal understanding, long-context coherence, and instructional design efficacy. EduCraft features a modular architecture comprising: (1) a Multimodal Input Processing pipeline for robust data extraction and association from slides; (2) a core Lecture Script Generation Engine with instruction-guided VLM and Caption+LLM workflows for pedagogical synthesis; (3) an optional Knowledge Augmentation Module using Retrieval-Augmented Generation (RAG) for enhanced factual grounding; and (4) a Model Integration and Deployment Interface supporting diverse AI models and providing a deployable API. Extensive evaluations, including human assessments and a new automated evaluation framework, demonstrate that EduCraft significantly outperforms strong baselines and teacher-refined scripts in producing coherent, readable, and pedagogically sound lecture scripts. By effectively tackling core LSG challenges, EduCraft offers a practical, configurable solution to reduce educator workload and enhance educational content creation. We open-source EduCraft at https://github.com/wyuc/EduCraft.",10.1145/3746252.3761578,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746252.3761578,"New York, NY, USA",Association for Computing Machinery,9798400720406,2025,EduCraft: A System for Generating Pedagogical Lecture Scripts from Long-Context Multimodal Presentations,"Wang, Yucheng and Yu, Jifan and Zhang-Li, Daniel and Lim, Joy Jia Yin and Tu, Shangqing and Li, Haoxuan and Liu, Zhiyuan and Liu, Huiqin and Hou, Lei and Li, Juanzi and Xu, Bin",inproceedings,10.1145/3746252.3761578,,,,,,,,
ASSETS '25,,"Accessibility, Image Descriptions, Multimodal Large Language Models, Variations, AI Errors, Trust",17,,Proceedings of the 27th International ACM SIGACCESS Conference on Computers and Accessibility,"Multimodal large language models (MLLMs) provide new opportunities for blind and low vision (BLV) people to access visual information in their daily lives. However, these models often produce errors that are difficult to detect without sight, posing safety and social risks in scenarios from medication identification to outfit selection. While BLV MLLM users use creative workarounds such as cross-checking between tools and consulting sighted individuals, these approaches are often time-consuming and impractical. We explore how systematically surfacing variations across multiple MLLM responses can support BLV users to detect unreliable information without visually inspecting the image. We contribute a design space for eliciting and presenting variations in MLLM descriptions, a prototype system implementing three variation presentation styles, and findings from a user study with 15 BLV participants. Our results demonstrate that presenting variations significantly increases users’ ability to identify unreliable claims (by 4.9x using our approach compared to single descriptions) and significantly decreases perceived reliability of MLLM responses. 14 of 15 participants preferred seeing variations of MLLM responses over a single description, and all expressed interest in using our system for tasks from understanding a tornado’s path to posting an image on social media.",10.1145/3663547.3746393,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3663547.3746393,"New York, NY, USA",Association for Computing Machinery,9798400706769,2025,Surfacing Variations to Calibrate Perceived Reliability of MLLM-generated Image Descriptions,"Chen, Meng and Iyer, Akhil and Pavel, Amy",inproceedings,10.1145/3663547.3746393,66,,,,,,,
ASSETS '24,"St. John's, NL, Canada","Assistive Technology, Blind Users, Data Visualization, Multimodal Interaction, Participitory Design, Smartphone, Sonification, Touchscreen Experience",15,,Proceedings of the 26th International ACM SIGACCESS Conference on Computers and Accessibility,"We introduce ChartA11y, an app developed to enable accessible 2-D visualizations on smartphones for blind users through a participatory and iterative design process involving 13 sessions with two blind partners. We also present a design journey for making accessible touch experiences that go beyond simple auditory feedback, incorporating multimodal interactions and multisensory data representations. Together, ChartA11y aimed at providing direct chart accessing and comprehensive chart understanding by applying a two-mode setting: a semantic navigation framework mode and a direct touch mapping mode. By re-designing traditional touch-to-audio interactions, ChartA11y also extends to accessible scatter plots, addressing the under-explored challenges posed by their non-linear data distribution. Our main contributions encompass the detailed participatory design process and the resulting system, ChartA11y, offering a novel approach for blind users to access visualizations on their smartphones.",10.1145/3663548.3675611,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3663548.3675611,"New York, NY, USA",Association for Computing Machinery,9798400706776,2024,ChartA11y: Designing Accessible Touch Experiences of Visualizations with Blind Smartphone Users,"Zhang, Zhuohao and Thompson, John R and Shah, Aditi and Agrawal, Manish and Sarikaya, Alper and Wobbrock, Jacob O. and Cutrell, Edward and Lee, Bongshin",inproceedings,10.1145/3663548.3675611,55,,,,,,,
UIST '25,,"trigger-action programming, programming systems, code generation, LLMs, software architecture",17,,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,"Trigger-action programming has been a success in end-user programming. Traditionally, the simplicity of links between triggers and actions limits the expressivity of such systems. LLM-based code generation promises to enable users to specify more complex behavior in natural language. However, users need appropriate ways to understand and control this added expressive power. We introduce Ply, a system that tackles this challenge through the following techniques: (1) a layer abstraction that enables decomposition into smaller building blocks; (2) generated visualizations at each layer boundary to enable interrogation of the behavior of generated code; and (3) generated customizable parameters, with associated configuration UIs, to allow users to tune each layer’s behavior. We offer a technical evaluation of Ply, demonstrating how custom programs can be authored and tested incrementally using this layered trigger-action technique. Additionally, we describe a first-use study with seven participants, demonstrating where and how Ply’s generative features can affect how users build programs.",10.1145/3746059.3747638,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746059.3747638,"New York, NY, USA",Association for Computing Machinery,9798400720376,2025,Generative Trigger-Action Programming with Ply,"Aveni, Timothy J. and Mor, Hila and Fox, Armando and Hartmann, Bj\""{o}rn",inproceedings,10.1145/3746059.3747638,33,,,,,,,
CIKM '25,"Seoul, Republic of Korea","adaptive fusion, attention mechanism, graph neural network, multimedia recommendation",10,3730–3739,Proceedings of the 34th ACM International Conference on Information and Knowledge Management,"In the context of information explosion, multimodal recommender systems (MMRS) have demonstrated great potential in capturing users' complex preferences and enhancing recommendation performance by integrating multimodal data such as images and text. However, multimodal data inherently suffers from semantic inconsistency, which can introduce information conflicts or noise. Moreover, users' reliance on different modalities varies dynamically with context and time (multimodal dynamic preferences). These challenges may lead to truth deviation and deep semantic mismatch, ultimately degrading recommendation performance. To address these issues, we propose Dual-Path Multimodal Recommendation (DPRec), a novel model that improves precision and robustness of the recommendation through cross-modal information compensation and dynamic modal preference learning. Specifically, DPRec first employs a cross-modal attention mechanism to dynamically model inter-modal correlations, effectively exploring complementary and shared features for robust user and item representations. Second, it integrates feature projection, modality alignment, and dynamic weighting mechanisms to adaptively adjust modality importance based on user context, ensuring flexibility in handling preference dynamics. Lastly, a modality contrastive loss is utilized to maximize mutual information between modalities, mitigating semantic mismatch by enhancing deep collaborative representations. Extensive experiments on three public datasets show that DPRec consistently outperforms state-of-the-art (SOTA) methods, achieving average improvements of 3.94\% in Recall@20 and 3.84\% in NDCG@20. Our code is publicly available at: https://anonymous.4open.science/r/DPRec-4D15.",10.1145/3746252.3761184,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3746252.3761184,"New York, NY, USA",Association for Computing Machinery,9798400720406,2025,Compensating Information and Capturing Modal Preferences in Multimodal Recommendation: A Dual-Path Representation Learning Framework,"Yan, Cairong and Mao, Xubin and Wang, Zijian and Zhao, Xicheng and Meng, Linlin",inproceedings,10.1145/3746252.3761184,,,,,,,,
CUI '25,,"conversational recommender system, large language model, dietary recommendation, health behavior",16,,Proceedings of the 7th ACM Conference on Conversational User Interfaces,"In conversational recommender systems (CRS), the communication characteristics exhibited by the conversational agent (CA) can greatly shape user experience and their perceptions of the recommendation quality. Yet, prior work often adopts a one-size-fits-all approach, leaving the potential benefits of CA customizability—allowing users to tailor agent traits to their preferences—largely unexplored. We examine this gap in the context of dietary recommendations by introducing SmartEats, a CRS featuring a CA that can be customized by users. Through a between-subjects experiment (N = 214), we compared SmartEats to a non-customizable baseline, and followed up with participants after one week to understand whether and how the recommendations affect their food choices. We found that CA customizability directly improved participants’ immediate experience and indirectly enhanced their ability to later recall the recommendations. Reflecting on the findings, we discuss opportunities for CRS to enhance health and well-being by leveraging the customizability of emerging AI technologies.",10.1145/3719160.3736635,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3719160.3736635,"New York, NY, USA",Association for Computing Machinery,9798400715273,2025,SmartEats: Investigating the Effects of Customizable Conversational Agent in Dietary Recommendations,"Liang, Minhui and Wang, Jinping and Luo, Yuhan",inproceedings,10.1145/3719160.3736635,63,,,,,,,
ICETM '24,,"AIGC, ChatGPT, Digital transformation, Higher education, Sora",6,322–327,Proceedings of the 2024 7th International Conference on Educational Technology Management,"The emergence of ChatGPT and Sora is two sensational events in the history of artificial intelligence development, jointly demonstrating the powerful functions of generative and universal artificial intelligence based on large models. As a technology system that integrates multiple functions such as text, image, and video processing, AIGC (Artificial Intelligence Generated Content) not only brings technological breakthroughs to the education field due to its emergence of multiple platforms, terminals, and modalities, but also brings challenges and opportunities to the current teaching and research system. The endogenous value of AIGC is reflected in its nonlinearity, multiscale, self-organization, adaptability, difficulty in regulation, signal transmission, feedback loop, and historical dependence, which is of great benefit to the digital transformation of higher education today. Empowering teaching, AIGC has promoted the shift of teaching mode from the binary structure of ""teacher - student"" to the ternary structure of ""teacher - machine - student"", promoted the shift of teaching content from manual production to intelligent production, and catalyzed the evaluation mode of ""knowledge+literacy""; Empowering learning, AIGC has promoted the ubiquity of learning space, met the personalized needs of full coverage of the learning process, and formed a human-machine collaborative learning mode; Empowering education, AIGC has promoted the shift of educational philosophy towards high-level ability cultivation and comprehensive literacy cultivation, and innovated the education model of interdisciplinary integration.",10.1145/3711403.3711456,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3711403.3711456,"New York, NY, USA",Association for Computing Machinery,9798400717468,2025,From ChatGPT to SORA- AIGC Empowering the Digital Transformation in Higher Education,"Liu, Shuguang and Wu, Chengwei and Zhou, Yunyan and Wang, Hongsheng and Sun, Hao",inproceedings,10.1145/3711403.3711456,,,,,,,,
,,,10,,,"This report describes a one-day symposium held at RMIT University that celebrated two milestone anniversaries in Web search: the launch in 1993 of JumpStation, the first modern web search engine; and the 25th anniversary since Google was incorporated as a company in 1998. The report describes the keynote presentations from Microsoft Research leader, Susan Dumais and University of Washington professor, Chirag Shah as well as three panel sessions involving leading researchers across Australia in both academia and industry. The symposium explored the impact and future directions of the web search revolution.Date: 17 August 2023.Website: https://www.admscentre.org.au/event/web-search-revolution/.",10.1145/3642979.3642996,https://doi-org.ez24.periodicos.capes.gov.br/10.1145/3642979.3642996,"New York, NY, USA",Association for Computing Machinery,,2024,Report on The Web Search Revolution: Symposium,"Sanderson, Mark and Lobato, Ramon and Hegarty, Kieran and Given, Lisa M. and Shah, Chirag",article,10.1145/3642979.3642996,14,January,SIGIR Forum,0163-5840,2,57,December 2023,
